Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
74ab949d-17ac-3309-83a0-13b4405c66aa,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,978-342-9781 Or 978-342-9781,0.0,1396
faffaf6a-ee1a-3673-b0b0-421a9c249244,ACTIVATED BY WELLNESS LLC,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,6178719807,0.0,29
17a4bae5-8b64-34d7-8144-b428be027bd0,NURSE ON CALL,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,5088451232,0.0,9
c241b977-4131-32e4-9957-e0a00b2a1e5f,DUFFY HEALTH CENTER,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,5087719599,0.0,1
ef5390b4-cba5-3d83-96db-af783a7adb43,MERRIMACK VALLEY HOSPICE INC,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,9785524000,0.0,1
6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,GUARDIAN HOME HEALTH CARE  LLC,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,5085885811,0.0,1
5becf220-2978-3f33-bd38-9326947f85de,JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,7815985310,0.0,15
42d4b607-f14d-370a-818e-40965685776c,TRINITY FAMILY MEDICINE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,023561034,42.0667665,-71.1036592,5082300155,0.0,41
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,5086947901,0.0,25
41e77ca4-b0d7-3c1d-ac88-4ae5a705913d,CLAFLIN HILL CORPORATION,20 CLAFLIN STREET,MILFORD,MA,017573356,42.137601149999995,-71.51680334935877,5084731272,0.0,1
1311c44a-85cb-3aea-a143-e5d7892ced8b,GROVE HILL MEDICAL CENTER PC,300 KENSINGTON AVE,SPRINGFIELD,MA,011071139,42.091896,-72.559437,8602246201,0.0,67
667b46fe-0afa-3f70-a311-bbe3d52db050,URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS LLC,757 BOSTON POST RD,WORCESTER,MA,016071728,42.231371,-72.165386,6173024194,0.0,2
8e3ca57f-6f74-3d61-9803-ab1424290216,ACADEMY MANOR,89 MORTON STREET,ANDOVER,MA,018102036,42.6551409,-71.12857340697036,9784750944,0.0,10
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,9789376000,0.0,172
fa09396a-2926-3b21-ad0c-9f6cabbce0eb,WOONSOCKET URGENT CARE PC,1210 BOSTON PROVIDENCE TPKE,NORWOOD,MA,020625061,42.1714075,-71.1951186,4017662700,0.0,1
1ddd51d1-7297-3c3b-bad5-98aecd5e4a79,BAYADA HOME HEALTH CARE  INC,127 CAMBRIDGE STREET  SUTIE #2B,BURLINGTON,MA,018033735,42.50188325,-71.19559351572005,6174721333,0.0,90
4cb90b5f-734d-322f-a2f2-776824e1ce35,SPECTRUM HOME HEALTH AND HOSPICE CARE,770 CONVERSE STREET,LONGMEADOW,MA,011061719,42.0639853,-72.5521444,4135652500,0.0,3
93c3d861-e05d-33b9-91eb-1768470229d7,PAIN AND WELLNESS CENTER,10 CENTENNIAL DR,PEABODY,MA,019607938,42.5261827,-70.9529896,9788267230,0.0,38
2e1eaaf1-ebb0-332c-8921-f48e15b91879,ALLIANCE HEALTH AT MARINA BAY,2 SEAPORT DRIVE,QUINCY,MA,021711599,42.29287335,-71.03019020136307,6177695100,0.0,4
32fcdfba-8c93-30f4-b15b-dd3b65c29deb,ELAINE CENTER AT HADLEY,20 NORTH MAPLE STREET,HADLEY,MA,010359715,42.3615107,-72.55261320852942,4135845057,0.0,1
0ddb0329-b59d-3187-874c-602c649249c8,BAYSTATE NOBLE HOSPITAL CORPORATION,115 W SILVER ST,WESTFIELD,MA,010853678,42.1178811,-72.75935246865802,4135682811,0.0,257
